Vend Code | Customer Code | Customer Name | Operator Code
2840 | 15686 (CEP) | Tampines St 92, Tampines SAFRA | HIPL
2841 | 16655 (CEP) | Bedok Heartbeat Level 5 ActiveSG | HIPL
2841 | 16757 (CEP) | Jurong West St 93, ActiveSG Jurong West (Lvl 1) | HIPL
2842 | 15927 (CEP) | Kranji Camp, Blk 817 - MINDEF (Appt.)(Free Placement) | HIMD
2842 | 16695 (UD) | Kranji Camp 2, Blk 311 - MINDEF (Free Placement) | HIMD
2843 | 15999 (CEP) | Kaki Bukit Camp, Hall - MINDEF | HIMD
2844 | 16147 (CEP) | Kranji Camp, Blk 912 - MINDEF (Appt.) | HIMD
2845 | 16181 (CEP) | Hillview Camp Blk 208 - MINDEF | HIMD
2846 | 16751 (CEP) | Selarang Camp, Block 28 Location B - MINDEF (Free Placement) | HIMD
2847 | 16733 (CEP) | Anchorvale Rd, Sengkang ActiveSG (Outside Swimming Pool 2) | HIPL
2848 | 16103 (CEP) | Jurong Camp, Blk 213 - MINDEF | HIMD
2849 | 16142 (CEP) | Jln Benaan Kapal Blk 2&3, The Cage Kallang | HIPL
2850 | 15823 (CEP) | Tampines Walk, Our Tampines Hub ActiveSG (Swimming Pool Lvl 6) | HIPL
2851 | 16656 (CEP) | Bishan Swimming Complex ActiveSG | HIPL
2852 | 16724 (LEA) | Compassvale Walk Blk 226A, Compassvale Vista RN (Bulla) | LEA
2853 | 16180 (LEA) | Boon Lay Drive Blk 260, Boon Lay Zone C RC (Bulla) | LEA
2854 | 16776 (UUD) | Hougang st 22 Block 240, Nice Minimarket | HIPL
2856 | 16214 (CFQ2) | Bedok North Ave 4, St. Anthony's Canossian Secondary School (SACSS) | HIPL
2857 | 16269 (CFQ2) | Francis Thomas Dr, St Andrew's Secondary School | HIPL
2858 | 16236 (CFQ2) | Marsiling Rd, Woodlands Secondary School | HIPL
2859 | 15586 (CFQ) | Bukit Timah Rd, Hwa Chong Jc (Cafe) | HIPL
2860 | 16701 (DEA) | The Glades Condo | DCVIC
2860 | 16785 | The Glades Condo | HIPL
2861 | 16234 (DEA) | Westgate, Lvl 3 @ Gateway Dr | DCVIC
2862 | 16242 (DEA) | Rivervale Dr Blk 146, Rivervale Horizon RN | DCVIC
2863 | 16232 (DEA) | Cheen Enterprise @ Blk 728 Jurong West Ave 5 | DCVIC
2863 | 16786 (CEZ) | Cheen Enterprise @ Blk 728 Jurong West Ave 5 | HIPL
2864 | 16231 (DEA) | LT6 @ NUS Blk E4, Engineering Dr 3 | DCVIC
2865 | 16230 (DEA) | Stevie Wash @ Blk 604, Yishun St 61 | DCVIC
2865 | 16788 (CEZ) | Stevie Wash @ Blk 604, Yishun St 61 | HIPL
2866 | 16229 (DEA) | Parkview Aparments Condo (Swimming Pool area) | DCVIC
2866 | 16789 (CEZ) | Parkview Aparments Condo (Swimming Pool area) | HIPL
2867 | 16228 (DEA) | Rivergate Condo (Swimming Pool area) | DCVIC
2868 | 16227 (DEA) | NUS PGP @ Prince George's Park | DCVIC
2869 | 16226 (DEA) | Twin Fountains Condo (Outside Management Office) | DCVIC
2869 | 16790 (CEZ) | Twin Fountains Condo (Outside Management Office) | HIPL
2870 | 16772 (CFW2) | Westgate, Lvl 3 @ Gateway Dr | HIPL
2871 | 16769 (CFY) | Rivervale Dr Blk 146, Rivervale Horizon RN | HIPL
2872 | 16770 (CFY) | NUS PGP @ Prince George's Park | HIPL
2873 | 15850 (UFNH) | Tampines Ave 5, Masjid Darul Ghufran | HIPL
4406 | 15890 (UFI2) | Serangoon Ave 1 Blk 123, Hwi Yoh Garden RC | HIPL
4407 | 15869 (UFI2) | Woodlands Close, Woodlands 11 | HIPL
4408 | 16111 (UFI2) | Tembeling Rd Blk 124 | HIPL
4411 | 16144 (UFI2) | Bedok Reservior Rd Blk 707, Bedok Reservoir-Punggol Rise RN | HIPL
4412 | 16120 (UFI2) | PSA Tuas | HIPL
4416 | 16681 (UFI2) | Strand Hotel Pte Ltd | HIPL
4417 | 16682 (UFI2) | The Brownstone Condo | HIPL
4418 | 15612 (UFI2) | Sims Dr, James Cook University (No Comm) | HIPL
4419 | 16119 (UFI2) | Tuas S Blvd Aetos PSA Tuas Square Building | HIPL
4420 | 15862 (USD) | Choa Chu Kang Ave 2 Blk 296, Gifted Learners Student Care | HIPL
4601 | 16246 (DEA) | Gambas Cres, Nordcom One (Main Lobby) | DCVIC
4601 | 16791 (CEZ) | Gambas Cres, Nordcom One (Main Lobby) | HIPL
4602 | 16792 (CEZ) | Compassvale Walk Blk 227A, Compassvale Vista RN | HIPL
4603 | 16253 (DEA) | Bedok North St 4, U Wash Laundry | DCVIC
4604 | 16252 (DEA) | Waterfront Waves Condo | DCVIC
4605 | 16254 (DEA) | Sin Ming Ln, Midview City | DCVIC
4605 | 16794 (CEZ) | Sin Ming Ln, Midview City | HIPL
4606 | 16256 (DEA) | Toa Payoh Lor 1 Blk 131 (Lvl 2), Toa Payoh Crest RN | DCVIC
4606 | 16795 (CEZ) | Toa Payoh Lor 1 Blk 131 (Lvl 2), Toa Payoh Crest RN | HIPL
4607 | 16255 (DEA) | Ang Mo Kio St 62, NCS Group | DCVIC
4607 | 16796 (CEZ) | Ang Mo Kio St 62, NCS Group | HIPL
4608 | 15870 (BEC2) | Tg Rhu Rd, Singapore Swimming Club | HIPL
4609 | 15749 | Parc Vista Condo  | DCVIC
4609 | 16797 (CEZ) | Parc Vista Condo | HIPL
4610 | 16054 (CFS) | Bukit Batok West Ave 6 Blk 188, Bukit Batok Zone 10 RN | HIPL
4610 | 16816 (CFQ) | Riverside Secondary School  立德中学 (Providence Café & Bakery)  (Replicate) | HIPL
4611 | 16749 (BEFC) | Timbre + Yishun | HIPL
4617 | 16721 (UEFS) | Changi Naval Base (YTC Changi East Project) LP371A | HIPL
4617 | 15626 (UEFS) | Waterfront Waves Condo | HIPL
4618 | 16692 (BEC) | Savannah Condopark Condo | HIPL
4619 | 15640 (BEC) | Temasek Club | HIPL
4620 | 15575 (BEC) | Terrasse Condo | HIPL
4621 | 16717 (UEFS) | Changi East Pass Office 1 (Takenaka construction site） | HIPL
4623 | 16734 (CFS) | Caspian Condo | HIPL
4707 | 15635 (UFI3) | Loyang Way, Loyang Tua Pek Kong | HIPL
4709 | 16759 (IFA) | Mount Faber Loop, Mt Faber 3D Ice Cream | IP
4711 | 16727 (UFI3) | Parc Central Condo (Rental To Cheers) | HIPL
4713 | 16715 (UFI3) | The Skywoods Condo | HIPL
4715 | 15660 | The Terrace Condo  | HIPL
4721 | 16100 (UFI3) | Hillington Green Condo | HIPL
4721 | 16750 (UFI3) | Ubi Techpark Lobby A Walls | HIPL
4722 | 15880 | The Rivervale Condo  | HIPL
4723 | 15638 | Treasure Trove Condo | HIPL
4727 | 15696 (CEP) | Seaside Residences Condo | HIPL
4746 | 16693 (CET) | KTPH Tower C Level 1 | HIPL
4752 | 16804 (IFA) | Airshow2026 Exhibition Hall Machine 2 | IP
4753 | 16779 (IFA) | Kitchener Rd, Parkroyal (Main Lobby) | IP
5073 | 16726 (UEFS) | Compassvale St Blk 252, Compassvale Haven RC | HIPL
