Vend Code | Customer Code | Customer Name | Operator Code
2294 | 15584 (BEH) | Westwood Residences Condo | HIPL
2296 | 15764 (BEC) | Boathouse Residences Condo | HIPL
2298 | 16032 (BEC) | Joo Chiat Place 332 | HIPL
2299 | 15723 (UEI) | Boon Lay Way, Jurong SAFRA | HIPL
2300 | 15992 (UKD) | Jurong West Central 1 Blk 682A, Boon Lay Zone B RN | HIPL
2301 | 15637 (BEC) | Arc Of Tampines Condo | HIPL
2302 | 15702 (BEC) | Waterfront @ Faber Condo | HIPL
2303 | 16241 (DEB) | Star Ave, Mediacorp | DCVIC
2306 | 16708 (BEC) | Casablanca Condo | HIPL
2310 | 15593 (UD) | Bukit Batok West Ave 2, CSC Bukit Batok (Swimming Pool) | HIPL
2311 | 15639 (BEC) | City Square Residences Condo | HIPL
2312 | 15668 (UFI) | Chiltern Park Condo | HIPL
2316 | 15642 (BEC) | Parc Riviera Condo | HIPL
2320 | 15645 (BEC) | Eastvale Condo | HIPL
2321 | 15684 (UFI) | Choa Chu Kang Ave 2 Blk 295, Happy Star Learning Hub | HIPL
2322 | 15596 (USD) | Bedok South Ave 3 Blk 295, Bedok Court | HIPL
2323 | 16211 (USD) | Pasir Laba Camp, Blk 276 Lvl 1 - MINDEF | HIMD
2324 | 16074 (USD) | Boon Lay Pl Blk 210A, Boon Lay Zone A RN | HIPL
2326 | 15652 (BFC) | Jurong Lakeholmz Condo | HIPL
2330 | 15663 (BEC2) | The Rainforest Executive Condo | HIPL
2331 | 15699 | Rivervale Spring Blk 135, RC | HIPL
2334 | 16292 (USD) | Safti Military Institute Camp, Blk 60 - MINDEF | HIMD
2334 | 16758 (USD) | Sungei Gedong Camp, Blk 100 Level 2 - MINDEF | HIMD
2337 | 15557 (USD) | Archipelago Condo | HIPL
2338 | 15895 (UFI) | Tampines St 92, Tampines SAFRA (Indoor) | HIPL
2342 | 15555 (BEC) | Austville Residences Condo | HIPL
2348 | 15559 (BEC) | Orchid Park Condo | HIPL
2351 | 16275 (BEC) | Orchard Scotts Condo | HIPL
2352 | 15599 (USD) | Beach Rd, Destination | HIPL
2356 | 15654 (UEJ) | Taxi Stand - Zoo | HIPL
2359 | 15658 (UFI) | Changi Coast Walk, NSRCC Swimming Pool | HIPL
2361 | 16012 (UD) | Serangoon North Ave 5, Singtel Serangoon Hub | HIPL
2363 | 15607 (UFN) | Sunbear Area - Zoo | HIPL
2365 | 15662 (UFI) | Woodsvale Condo | HIPL
2366 | 16025 (UKD) | Yishun Ave 11 Blk 458, Sweetlands | HIPL
2367 | 16688 | Compassvale Street Senior Citizen’s Corne  Blk 291B, Compassvale Lodge RC  | HIPL
2370 | 16134 (BFC) | Compassvale Walk Blk 226A, Compassvale Vista RN | HIPL
2376 | 15697 (UFN) | How Sun Dr, Bartley Church | HIPL
2378 | 15563 (BFC) | Rivercove Residences Condo (Rental To Cheers) | HIPL
2379 | 15564 (BFC) | Eastpoint Green Condo | HIPL
2385 | 15950 (UFI) | Pasir Ris Dr 3 Blk 628 | HIPL
2387 | 15715 (UFI) | Signature At Yishun Condo | HIPL
2388 | 15573 (BFC) | Jurong East St 31 Blk 321 | HIPL
2393 | 15577 (BFC) | Jurong West Ave 1 Blk 541 | HIPL
2399 | 15620 (USD) | Jurong Gateway Rd, Jurong Play Grounds | HIPL
2401 | 15673 (UEI) | Changi Coast Walk, NSRCC Main Lobby | HIPL
2402 | 15747 (UD) | Fort Canning Rd, YWCA | HIPL
2403 | 15816 (UFI) | Ang Mo Kio Ave 6 Blk 645, THK Charities | HIPL
2406 | 15568 (USD) | Livia Condo | HIPL
2406 | 16107 (CEP) | Nee Soon Camp, Blk 361 Lvl 2 - MINDEF (Appt.) | HIMD
2408 | 15805 (CEP) | Florida Condo (Rental To Peter F&B) | HIPL
2408 | 16762 (CEP) | CMPB Blk 2 - MINDEF | HIMD
2418 | 15986 (USD) | Sentul Crescent, Kidz Amaze (Punggol SAFRA) | HIPL
2427 | 15552 (BFC) | Waterfront Key Condo | HIPL
2431 | 15679 (UFI) | Boon Lay Dr Blk 191, RC | HIPL
2434 | 15798 (UFI) | Pending Rd Blk 112, Sysawi Wash | HIPL
2436 | 15931 (USD) | Boon Lay Dr Blk 189, RC | HIPL
2439 | 15681 (BFC) | Vue 8 Residence Condo | HIPL
2442 | 15685 (UFI) | Sentul Crescent, Punggol SAFRA | HIPL
2443 | 15601 (UFJ) | Pavilion By The Lake (PBTL) - Zoo | HIPL
2445 | 15687 (UFI) | Yishun Ave 4, Yishun SAFRA Country Club | HIPL
2446 | 15688 (BFC) | Palm Isles Condo | HIPL
2457 | 15856 (BFC) | Amber Rd, Chinese Swimming Club | HIPL
2461 | 15668 (UFI) | Chiltern Park Condo | HIPL
2461 | 15610 | Toa Payoh Lor 6, Kidz Amaze (Toa Payoh SAFRA) | HIPL
2462 | 16663 (USD) | Changi Rise Condo (Rental To Cheers) | HIPL
2468 | 15705 (BFC) | East Meadows Condo | HIPL
2470 | 16664 (BEC) | Sunglade Condo (Rental To Cheers) | HIPL
2473 | 15707 (UFI) | Jurong West Central 1 Blk 692, Gnosis | HIPL
2474 | 15708 (BEC) | Thomson Rd, Thomson Medical Hospital (Utilities) | HIPL
2475 | 15602 (UEN) | Chimpanzee Area (Boat Dock 2) - Zoo | HIPL
2476 | 15605 (UFJ) | Boat Dock 1 (White Tiger Side) - Zoo | HIPL
2480 | 15713 (BFC) | Twin Waterfalls Condo | HIPL
2483 | 15716 (UFI) | Bellewoods Condo | HIPL
2487 | 16654 (USD) | Nee Soon Camp, Blk 701 Lvl 1 - MINDEF (Appt.) | HIMD
2489 | 15733 (BEC) | The Hillside Condo | HIPL
2491 | 15566 (UD) | Estella Gardens Condo | HIPL
2493 | 15735 (BEC2) | The Glyndebourne Condo | HIPL
2496 | 16124 (BEC2) | Casa Merah Condo | HIPL
2497 | 15738 (CFM2) | Bedok South Ave 1, Certis Bedok (F) | HIPL
2497 | 16730 (CFM) | Commonwealth Dr, Extra Space Commonwealth | HIPL
2499 | 15740 (BEH) | Inz Residence Condo | HIPL
2501 | 15811 (BEC) | Upper Jurong Rd, D Arena | HIPL
2502 | 16086 (UFI) | Rivervale Crescent Blk 180C, Rivervale Arc RN | HIPL
2504 | 15744 (CFK) | Regent Heights Condo | HIPL
2506 | 15746 (FUD) | Computing Dr, Nus The Deck (Canteen) (No Com) | HIPL
2508 | 16672 (USD) | Jurong West Central 3  Blk 698B, Pioneer Zone 5 RN | HIPL
2509 | 15751 (CFM2) | D'Nest Condo (Rental To Cheers) | HIPL
2513 |  | 198冰箱测试温度 | HIPL
2516 | 15755 | Netheravon Rd, CSC Changi 1 | HIPL
2517 | 15730 (UEJ) | Outside Squirrel Monkey Exhibit (River Wonder) - Zoo | HIPL
2518 | 16154 (UFN) | Keppel Rd, PSA Bus Bay | HIPL
2519 | 16153 (UFN) | Keppel Rd, PSA PPTB1 | HIPL
2522 | 15763 (FUD) | Collage Ave West, Nus Utown Src (No Com) | HIPL
2526 | 15765 (BFC) | Waterfront Isle Condo | HIPL
2527 | 15766 (BFC) | Summerhill Condo | HIPL
2539 | 15720 (BFC) | Parc Oasis Condo | HIPL
2541 | 16719 (CEP) | Yishun Swimming Complex ActiveSG | HIPL
2542 | 16060 (UFN) | Penjuru Dorm | HIPL
2546 | 16240 (DEA) | Nepal Park, Lyf One North | DCVIC
2550 | 15726 (USD) | Parc Oasis Condo DDVM | HIPL
2555 | 15728 (BFC) | Varsity Park Condo | HIPL
2556 | 16073 (USD) | Boon Lay Pl Blk 207, Boon Lay Zone A RN | HIPL
2558 | 15833 (UFI) | Woodlands Ave 1 Blk 351, Dedicated Student Care Centre | HIPL
2558 | 15579 (UFI) | Orchard Rd, Orchard Gateway (Rental To Cheers) | HIPL
2561 | 16277 (USD) | Evergreen Park Condo Walls | HIPL
2564 | 15748 (BFC) | J Gateway Condo | HIPL
2566 | 16679 (BEC) | Treasure Crest Condo | HIPL
2566 | 15833 (UFI) | Woodlands Ave 1 Blk 351, Dedicated Student Care Centre | HIPL
2567 | 14989 (BFC) | Rivervale Dr Blk 120C, Rivervale Gardens RN | HIPL
2568 | 16712 (UFI) | Riversound Residence Condo | HIPL
2570 | 16273 (DEA) | Bencoolen St, Nafa Campus 3 | DCVIC
2572 | 15768 (CFM2) | Prive Executive Condo | HIPL
2573 | 16714 (UFJ) | Outside Colugo Camp - Zoo | HIPL
2578 | 15965 (UD) | Mandai Hill Camp, Blk 8 - MINDEF | HIMD
2580 | 15784 (UEI) | Northshore Dr, Marina Country Club | HIPL
2581 | 15745 (UD) | Jln Besar, Holiday Inn Express Serangoon | HIPL
2582 | 16152 (UFN) | Arumugam Rd, Lor Koo Chye Sheng Hong Temple Association 新加坡韮菜芭城隍庙 | HIPL
2584 | 16695 (UD) | Kranji Camp 2, Blk 311 - MINDEF (Free Placement) | HIMD
2584 | 15927 (CEP) | Kranji Camp, Blk 817 - MINDEF (Appt.)(Free Placement) | HIMD
2586 | 16075 (CEP) | Khatib Camp - MINDEF | HIMD
2596 | 15544 (UD) | Woodlands St 41 Blk 401, Bright Sparks | HIPL
2598 | 16188 (CEP) | Sembawang Air Base Camp, Blk 67 - MINDEF (ePass) | HIPL
2599 | 15998 (USD) | Sembawang Camp Blk 203 - MINDEF | HIMD
2600 | 15777 (UD) | Seletar Club Rd, Seletar Country Club Golf Complex | HIPL
2601 | 15797 (CFK) | Ferraria Park Condo | HIPL
2603 | 15235 (CEP) | Jurong West St 93, ActiveSG Jurong West (Swimming Pool, Lvl 2) | HIPL
2605 | 15771 (UFNH) | Jln Eunos, Masjid Darul Aman | HIPL
2612 | 16696 (UD) | Jalan Haji Alias, Masjid Al-Huda | HIPL
2613 | 15808 (CFM2) | The Queens Condo | HIPL
2614 | 15809 (BEFC) | Sunhaven Condo | HIPL
2616 | 15810 (UEI) | Somapah Rd, SUTD Building 1 Blk 1 | HIPL
2619 | 15813 (USD) | Orchid Club Rd, Fairprice Orchid Country Club | HIPL
2620 | 16222 (UD) | Hougang St 21, Paya Lebar Kovan CC | HIPL
2621 | 16773 (CFW1) | Rivergate Condo (Swimming Pool area) | HIPL
2622 | 16262 (USD) | Rivervale Drive Blk 189C, Rivervale Vista RN | HIPL
2624 | 15592 (UKD) | Meadows @ Peirce Condo | HIPL
2625 | 15769 (UKD) | Simei St 3, St Andrew's Community Hospital | HIPL
2627 | 16699 (CFQ) | Serangoon Sec Sch  实仁中学(Good News Cafe) | HIPL
2629 | 16283 (CEP) | Paddle Lodge @ MacRitchie (KWSC) | HIPL
2630 |  | 206冷房在线状态 | HIPL
2632 | 16286 (UUD) | Dieppe Barracks Camp, Blk 10 Lvl 1 - MINDEF | HIMD
2634 | 15583 (BEH) | Pinevale Condo | HIPL
2637 | 15686 (CEP) | Tampines St 92, Tampines SAFRA | HIPL
2638 | 15783 (CEP) | Clementi Ave 3, Clementi ActiveSG (Swimming Pool) | HIPL
2642 | 16676 (UEN) | Victoria Street, Enterprise Singapore 1 | HIESG
2643 | 16135 (CEP) | Compassvale St Blk 250B, Compassvale Haven RC | HIPL
2644 | 15791 (USD) | Boon Lay Dr Blk 190, RC | HIPL
2645 | 16251 (BEC2) | Tampines Industrial Ave 1, VSMC (Indoor) | HIPL
2654 | 15570 (UFNH) | The Inflora Condo | HIPL
2655 | 15738 (CFM2) | Bedok South Ave 1, Certis Bedok (F) | HIPL
2656 | 15849 (BEC2) | Grandeur Park Residences Condo | HIPL
2657 | 16076 (UDC) | Jalan Ahmad Ibrahim, VDL Enabling Technologies Lvl 3 | HIPL
2658 | 15850 (UFNH) | Tampines Ave 5, Masjid Darul Ghufran | HIPL
2658 | 16771 (UFNH) | Compassvale Lane  Blk206C, Compassvale Villa  RC | HIPL
2659 | 16729 (UFNH) | Jurong East St 21, Masjid Al Mukminin | HIPL
2662 | 16271 (BFC) | Clementi Ave 4 Blk 311A, Trivelis RN | HIPL
2663 | 15854 (UEN) | Boat Plazaku (River Wonder) - Zoo | HIPL
2665 | 15807 (BEC) | Nuovo Condo | HIPL
2665 | 16801 (BEC) | Soleil@Sinaran Condo | HIPL
2666 | 16784 (CEZ) | Woodlands Ring Road Blk 609, Sweetlands | HIPL
2671 | 16687 (BEC) | Timbre+ Hillview | HIPL
2673 | 15855 (CFK) | Punggol Field, Masjid Al-Islah | HIPL
2674 | 15853 (UD) | Jurong East St 32 Blk 316, Vending Mama | HIPL
2674 | 16815 (UUD) | Bukit Batok Central Blk622B, Bukit Batok Zone 3 RN | HIPL
2682 | 15861 (CFP) | Boon Lay Dr Blk 196B, RC | HIPL
2685 | 16694 (CEP) | Somapah Rd, SUTD Building 2, Level 2 | HIPL
2686 | 16263 (USD) | Dieppe Barracks Camp, Blk 11 Lvl 2 - MINDEF | HIMD
2687 | 16135 (CEP) | Compassvale St Blk 250B, Compassvale Haven RC | HIPL
2688 | 16261 (CFP) | Rivervale Drive Blk 188B, Rivervale Vista RN | HIPL
2692 | 16279 (UD) | Dieppe Barracks Camp, Blk 11 Lvl 1 - MINDEF (Free Placement) | HIMD
2693 | 15938 (BFC) | Tampines St 12 Blk 144, Ben Ayden's | HIPL
2696 | 16159 (UD) | Hazel Park Condo | HIPL
2697 | 15522 (CEP) | Thomson Rd, SLF Complex | HIPL
2698 | 15822 (UKDC) | Woodland Loop, Ase Singapore | HIPL
2699 | 16006 (USD) | Keat Hong Camp, Blk 9 - MINDEF | HIMD
2700 | 15589 (CDR) | Bedok South Rd, Skyworks Global Ultimate | HIPL
2701 | 16161 (USD) | Jurong West St 52 Blk 527, Jurong Spring Zone E RN | HIPL
2702 | 15717 (BFC) | Rivervale Dr Blk 121A, RN | HIPL
2704 | 15832 (BFC) | Clementi Ave 4 Blk 320, Lena Wellness | HIPL
